,0,1,2,3,4,5,6,class
0,1,0,1,0,0,1,1,1
1,0,0,0,1,1,1,1,6
2,1,1,0,0,1,1,1,6
3,1,0,0,1,1,0,1,2
4,1,1,1,0,1,1,1,0
5,1,1,1,1,0,0,1,5
6,0,0,1,1,0,1,0,1
7,0,1,1,1,0,1,0,1
8,1,1,1,0,1,1,1,8
9,0,0,1,0,0,1,0,1
10,0,1,1,0,0,1,0,7
11,1,1,0,0,1,0,1,5
12,1,1,0,1,1,1,1,6
13,0,0,1,0,1,1,0,1
14,0,1,1,0,0,1,0,4
15,0,0,1,1,0,0,1,3
16,0,1,1,0,1,1,1,0
17,1,0,0,0,0,0,0,1
18,0,1,1,1,1,1,1,8
19,0,1,1,1,0,1,1,4
20,1,1,1,1,1,1,1,0
21,0,1,0,1,1,1,1,5
22,1,0,1,1,0,1,0,7
23,1,1,0,0,1,1,1,0
24,1,1,0,1,0,0,1,3
25,0,1,1,0,0,1,1,8
26,1,1,0,0,1,1,1,6
27,1,0,1,0,0,1,1,7
28,1,0,1,1,1,1,1,3
29,0,1,0,0,1,1,1,8
30,0,0,1,1,1,1,0,1
31,1,1,0,1,0,1,1,5
32,1,1,1,1,0,0,1,5
33,1,1,1,1,1,0,1,8
34,0,1,1,0,0,1,0,4
35,1,0,1,0,1,0,1,2
36,0,1,1,0,0,1,1,4
37,1,1,0,1,0,1,0,5
38,0,0,0,1,0,1,0,1
39,1,1,1,0,1,1,1,0
40,0,0,1,0,0,1,0,1
41,1,0,1,0,1,0,1,2
42,1,0,0,1,0,1,1,3
43,1,0,1,0,0,1,0,7
44,0,0,1,0,0,1,0,1
45,0,0,1,0,1,1,0,1
46,1,1,1,1,0,0,1,5
47,1,1,1,1,1,1,0,8
48,1,1,1,1,0,1,1,5
49,0,1,1,1,0,0,0,4
50,1,0,0,1,1,1,1,6
51,1,0,1,0,0,1,0,7
52,1,1,1,1,0,1,0,9
53,1,0,1,1,0,1,1,3
54,1,1,0,0,1,1,0,6
55,1,1,0,1,1,1,0,6
56,1,0,1,1,1,0,1,2
57,1,1,1,0,1,1,1,8
58,0,1,1,1,1,1,0,4
59,1,0,1,1,1,1,1,5
60,1,1,0,1,0,1,1,5
61,1,0,1,1,0,1,1,9
62,1,1,1,1,1,1,1,8
63,1,1,0,1,1,1,1,6
64,0,1,1,1,1,1,1,0
65,1,1,0,1,0,0,0,5
66,0,1,1,0,1,0,0,8
67,1,1,0,0,0,1,1,3
68,0,0,1,1,1,1,0,4
69,0,0,1,0,0,1,0,1
70,1,1,0,1,0,1,0,9
71,1,1,1,1,0,1,1,9
72,0,0,1,0,0,1,0,7
73,0,1,1,1,0,1,0,4
74,1,1,1,1,0,1,1,3
75,1,1,1,0,1,1,1,0
76,0,1,1,1,0,1,0,4
77,1,0,1,1,0,1,0,7
78,1,1,1,1,0,1,1,9
79,0,0,1,0,0,1,1,4
80,1,0,1,1,0,1,1,3
81,0,0,0,1,0,1,0,4
82,1,0,0,0,1,0,1,2
83,1,1,0,1,1,1,1,0
84,0,0,1,1,0,0,1,2
85,1,1,1,1,0,1,1,9
86,0,1,0,1,0,1,0,9
87,0,1,0,1,0,1,1,3
88,0,1,1,1,0,1,0,4
89,1,0,1,1,0,0,0,3
90,0,1,1,1,0,1,0,4
91,0,1,0,0,0,1,0,4
92,0,0,1,0,1,1,0,1
93,0,1,1,1,0,0,1,9
94,1,0,1,0,1,0,0,7
95,1,0,1,0,0,1,0,7
